sss	0.051668	0.126096	0.139174	0.148792	0.157816	0.16352		sss	0.05515	0.099164	0.130774	0.149706	0.16085	0.172928	0.17864	
fft	0.048928	0.11807	0.13161	0.14183	0.151862	0.158322		fft	0.050646	0.090152	0.120066	0.140346	0.154088	0.170276	0.178384	
bpp	0.050266	0.121002	0.134578	0.144646	0.154142	0.159822		bpp	0.056762	0.092024	0.118958	0.138378	0.151602	0.16734	0.175312	
bps	0.051114	0.125374	0.1387	0.14851	0.157758	0.163496		bps	0.053458	0.098284	0.13082	0.150194	0.161232	0.17299	0.178618	
hf	0.04437	0.10687	0.120054	0.130398	0.140776	0.148064		hf	0.043834	0.080576	0.109046	0.128894	0.143154	0.162066	0.17269	
mv	0.04283	0.103372	0.115616	0.125646	0.136016	0.143404		mv	0.049346	0.078454	0.102608	0.122198	0.13762	0.158872	0.170722	
sc	0.054832	0.13062	0.143372	0.152384	0.160342	0.165336		sc	0.062688	0.102142	0.128756	0.146162	0.157494	0.17047	0.177356	
pca	0.046398	0.113084	0.126578	0.136872	0.146998	0.153446		pca	0.049664	0.08602	0.113694	0.133028	0.147124	0.165056	0.17422	
is	0.03976	0.096266	0.108686	0.11899	0.130166	0.138106		is	0.043156	0.071472	0.09624	0.117066	0.13398	0.157494	0.170604	
dsss	0.061764	0.145776	0.15767	0.165988	0.173182	0.17791		dsss	0.072568	0.127124	0.160066	0.17484	0.180468	0.183824	0.184802	
hfi	0.04035	0.10069	0.114394	0.125436	0.13675	0.144674		hfi	0.037452	0.073446	0.103756	0.125368	0.140834	0.1607	0.171512	
wdr	0.03888	0.094134	0.106864	0.117628	0.129382	0.137688		wdr	0.039312	0.068132	0.09383	0.115476	0.132944	0.156992	0.170082	
