sss	0.127238	0.153802	0.161564	0.171418	0.187764	0.204364		sss	0.687794	0.8564	1.0508	1.28046	1.51102	1.70008	1.80762	
fft	0.126364	0.146006	0.152504	0.159814	0.173692	0.187122		fft	0.611768	0.764774	0.962516	1.19361	1.4476	1.66744	1.7959	
bpp	0.113116	0.129102	0.134396	0.140534	0.150854	0.161718		bpp	0.541406	0.688366	0.880574	1.1352	1.41439	1.66752	1.80347	
bps	0.110878	0.134734	0.142238	0.151956	0.168502	0.184392		bps	0.651844	0.809976	1.00143	1.23379	1.4784	1.68313	1.78781	
hf	0.111026	0.130574	0.136484	0.144144	0.15769	0.171964		hf	0.656286	0.81293	1.00131	1.22996	1.47046	1.67648	1.79274	
mv	0.124704	0.140178	0.144412	0.14926	0.157256	0.165716		mv	0.392886	0.493226	0.628628	0.827024	1.13567	1.55448	1.78509	
sc	0.11206	0.139472	0.147846	0.157914	0.174882	0.19163		sc	0.823418	1.05214	1.30705	1.54343	1.70416	1.77675	1.81031	
pca	0.124968	0.140104	0.144046	0.14858	0.15633	0.163568		pca	0.396174	0.503012	0.649672	0.858368	1.17523	1.57335	1.80101	
is	0.110452	0.122382	0.1254	0.12959	0.13664	0.14385		is	0.414554	0.539298	0.711096	0.949396	1.27174	1.60239	1.78852	
dsss	0.110904	0.128654	0.134516	0.141212	0.152814	0.166334		dsss	0.649086	0.820232	1.02738	1.26859	1.51437	1.7017	1.7993	
hfi	0.110934	0.126428	0.131218	0.135988	0.144178	0.152952		hfi	0.400372	0.515762	0.679254	0.912158	1.23608	1.60042	1.8021	
wdr	0.110196	0.122204	0.126652	0.1302	0.137674	0.145378		wdr	0.413284	0.536492	0.70793	0.949814	1.2823	1.62645	1.81358	
