sss	11119.2	424427	477983	510521	540676	558023		sss	237913	414904	518945	570127	590849	604466	608718	
fft	11411.2	380081	432392	466037	501815	521652		fft	217499	365301	472603	536102	574673	599078	605638	
bpp	19880.4	406322	453420	482387	509468	525912		bpp	253735	385438	471014	525637	556945	586941	599883	
bps	10076.4	420179	476303	508986	540821	559762		bps	229272	410595	519256	571501	591316	604514	608718	
hf	9022.54	346131	393729	428468	461502	483929		hf	188197	326945	423416	483838	525832	575573	597205	
mv	20459.7	331040	377172	411784	444038	465276		mv	199885	306118	390509	454856	505413	567979	593463	
sc	16471.4	436611	482066	510207	533066	547822		sc	285145	427486	508061	552537	575142	595405	604247	
pca	13617.7	369824	418085	453381	486044	503228		pca	218927	354674	447314	504405	548992	587730	600302	
is	15622	284760	328988	365171	403662	429822		is	155592	257035	344989	418899	475304	547976	583272	
dsss	14324.5	464524	514250	543722	565533	580155		dsss	277203	469696	566769	601088	609564	612162	612195	
hfi	8225.52	334623	387423	428259	461914	484721		hfi	172072	324198	432122	495285	539894	587014	602873	
wdr	13342.3	291088	335705	372565	413220	439269		wdr	153921	257883	352177	426009	484397	555225	586544	
