sss	0.00208	2.26333	2.41594	2.56998	2.80661	2.982		sss	1.596	1.66308	1.74403	1.84973	1.92997	1.99998	2.0637	
fft	0.00188	1.86456	2.00085	2.13495	2.31688	2.46626		fft	1.41025	1.49499	1.58777	1.68583	1.78242	1.90605	1.99754	
bpp	0.001648	2.82127	2.99955	3.17113	3.39736	3.57307		bpp	1.83134	1.88572	1.94264	1.9851	2.02262	2.05785	2.08245	
bps	0.00173	1.88297	2.00498	2.11124	2.28884	2.4302		bps	1.37483	1.45674	1.54681	1.64532	1.74541	1.85023	1.97358	
hf	0.001898	1.98467	2.10264	2.22991	2.39446	2.55698		hf	1.37183	1.44895	1.53881	1.63327	1.73392	1.84099	1.95349	
mv	0.002134	2.13912	2.22983	2.31811	2.45022	2.55121		mv	1.34357	1.41299	1.49109	1.57912	1.67624	1.79108	1.93222	
sc	0.001566	2.60242	2.75515	2.91674	3.12219	3.28762		sc	1.67711	1.74339	1.81369	1.88429	1.94915	1.99901	2.04237	
pca	0.001962	1.82837	1.97571	2.11736	2.31414	2.50914		pca	1.62264	1.72605	1.84032	1.97783	2.09733	2.24645	2.37132	
is	0.002458	1.66924	1.80054	1.94345	2.09969	2.23435		is	1.29925	1.38648	1.48237	1.60255	1.71982	1.82039	1.96317	
dsss	0.002254	2.15025	2.29981	2.45341	2.64845	2.80745		dsss	1.52876	1.60292	1.69013	1.76358	1.84625	1.9304	2.0143	
hfi	0.001884	1.51701	1.64798	1.76545	1.91432	2.04797		hfi	1.22942	1.31761	1.41379	1.52285	1.63833	1.77101	1.92204	
wdr	0.002276	1.68646	1.81319	1.94155	2.1103	2.249		wdr	1.29915	1.38797	1.48342	1.58854	1.70151	1.82238	1.96019	
